,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
EGFR,1.3514767,0.9078997,1.0141587,-0.6826117,1.2022172,0.9141492,1.091076,-0.32775462,-0.03745162,-0.299354,-1.0648388,-0.8193302,-0.7345581,-1.0967679,1.529444,0.27533093
EPHA2,0.009261342,-0.9390265,-0.99668777,-1.0887035,1.5216289,-0.31458563,2.0572853,-1.0377507,0.46393862,-0.93431044,-0.80149907,-0.3278139,-0.15231363,-0.97033256,0.7397894,-0.17966717
PTK2,1.5383356,-0.857138,-0.018269567,-1.7520663,-0.05193713,0.121098295,1.9013011,0.08932669,0.5340067,0.29196963,-0.5592654,0.13277799,0.32464543,-2.1169379,0.34331322,0.97131026
FGFR1,-1.154353,0.23186253,0.9275448,-0.85573566,1.4984725,0.32812646,1.3672985,-0.78736794,0.44307962,-1.0451666,-0.20614645,-0.49600622,-0.4326808,-0.34351575,0.2662921,-0.06234884
FGFR4,-0.40708846,0.59894717,-0.120869316,-0.6907743,0.7332317,0.015308141,1.1308599,0.013734839,-0.11764681,0.02331614,-0.16884714,0.17937975,-0.0130015,-0.44160014,0.37913826,0.30528784
IGF1R,1.007035,1.1669813,-0.38760653,-0.25657207,0.53371114,-0.28207198,2.1187117,-0.3156676,-0.43410033,0.18187666,-0.39384294,-0.6565082,-0.53347814,0.03266985,0.20453367,-0.5108871
INSR,0.3375487,-0.30726218,0.03694249,-0.5989698,-0.42868385,0.61550575,1.194808,0.5693009,0.5316278,-0.52086574,0.09491982,-0.6423154,-0.58159083,-1.2187693,0.1516049,0.5011117
JAK1,0.364413,-0.08856545,1.1203731,0.5924566,0.6564345,0.20503594,1.3746864,0.35250178,-0.17296636,-0.7271431,-1.2499278,0.86421925,0.09273303,-0.15286067,0.52673984,0.19680604
JAK3,0.057688843,-0.5624782,1.0248145,0.15272884,0.65716237,0.9880049,0.5015998,0.83589154,-0.32409263,-0.6295769,-1.0748221,0.19001675,0.48036462,-0.20517541,-0.13356094,0.4116491
MST1R,0.34578118,0.5235085,1.1717309,0.09070344,0.23734018,0.94242984,1.5347377,0.77727735,-0.010927308,-0.5174745,-0.88027674,0.20634024,-1.1732206,0.14944269,-0.015947761,0.7752484
CSF1R,0.1257663,-0.7872115,0.2428851,0.80669653,0.6121628,0.90612704,1.1518129,-0.48437065,0.24137011,-1.0863163,-1.1808211,0.007255841,-0.14711171,-0.59167236,0.21202429,0.6700243
FLT3,-0.61120135,-0.11117151,1.3356086,-0.50082874,1.379672,0.2993196,0.687467,-0.2821526,0.28846666,-1.2619375,-0.11283085,-0.1851302,0.46759772,-0.586536,0.6339861,0.3507258
KIT,0.033404842,0.3722447,1.3205589,-0.21174617,0.78815424,0.5640141,0.7889949,0.023110017,-0.112716556,0.09836891,0.54682076,0.16863199,0.1101214,-0.7410878,-0.15303078,0.55778855
PDGFRA,0.46451348,-0.13747413,-0.4002737,0.39053157,0.82345426,0.51301277,1.4328295,-0.34217563,-0.9634778,-1.0879033,0.4622408,-0.17159955,-0.055784613,-1.4422944,0.14379263,1.0235406
PDGFRB,0.6968917,-0.07749681,0.08265544,0.30458722,0.3566326,0.5421922,1.3154199,-0.1558781,-1.0147474,-1.0326385,-0.058445573,0.049481913,0.30317536,-1.289334,-0.7146557,0.47347105
PTK6,-1.0224963,0.42404485,-0.84665227,-0.54471457,1.3037676,0.07185172,1.6621319,-0.0970151,1.1661708,-0.47855458,-1.0377059,0.15222736,-0.2054172,-0.4791775,0.4980767,-0.4667681
FYN,0.035754822,-0.07390887,1.3031657,0.276909,0.79105115,0.57271415,0.604681,-0.2589161,0.08732957,-0.5803943,-0.4847615,-0.064185865,0.16976015,-0.3077941,-0.24885567,-0.24929063
SRC,0.76535624,0.83776975,0.2082805,-1.5016772,0.6525135,2.8382978,0.21172656,0.74648213,1.2874315,-0.058623992,-0.1938529,-0.015874807,0.30636373,-1.5327951,0.75645417,-0.9781818
YES1,1.2219476,0.3688688,1.3743688,-0.2603438,1.5724101,0.91386235,0.42837226,-0.20883538,1.1696478,0.021554183,0.06361344,0.32246435,0.1395791,-0.02228225,0.15496117,0.66166633
TEK,0.1865453,-0.10220833,0.7432416,0.3525563,-0.015608015,1.1682774,1.8001823,-0.3466117,0.5176488,0.09570986,-0.73088986,1.0687593,-0.34751397,-0.41745993,-0.024052234,0.44520205
NTRK1,-0.2709627,1.2481291,0.90552205,0.003156169,1.4132395,1.6008519,0.85858065,0.25477195,-0.42527282,-0.36861002,-0.06806799,-0.197955,-1.2857839,-0.3089376,0.5320555,0.04234497
KDR,0.67003554,-0.6762206,0.11288526,-0.71364343,1.3078195,0.3518288,0.85247254,-0.5434224,-0.13891354,0.74847656,-0.9867172,0.088389434,0.8257169,-0.7977203,0.8300929,0.6389611
IRAK2,-0.37782153,0.4533923,0.0012460342,-0.6489261,0.7147658,0.14092048,0.8570385,0.16451332,0.025412744,-0.05126181,-0.27796805,-0.06559551,-0.16008724,-0.50492287,0.369554,0.25175944
MAP3K11,-0.40045562,1.1285633,0.1536318,-0.574568,0.9509001,0.10648461,1.3300142,0.58228105,0.14382024,-0.2906856,-0.4639629,0.23147847,-0.020577075,-0.4640083,0.8435795,0.46110362
BRAF,-0.0023702465,-0.09477455,1.0449423,0.03167037,0.3024471,0.5001023,0.9148389,0.12395278,0.8732373,0.42445624,-0.14574368,-0.7790568,0.042629115,-0.7646177,-0.3168374,-0.18970555
ACTR2,0.5322421,-0.71713454,-0.07486543,0.34940583,0.38313454,0.18684025,1.1467654,0.3437936,0.19605747,-0.4590576,-1.3088347,0.48484772,-0.090765186,-0.16451956,0.48308957,0.1920603
MAP3K5,0.021703888,0.61141574,-0.17597951,-0.12068682,0.028283939,1.2990147,1.8198357,-0.7886517,1.5600407,-0.026192822,-1.6267525,-0.3866669,-0.08496794,0.6262176,-0.29725173,1.395754
LCK,-0.49465996,-0.422552,0.9622818,0.949378,0.83432287,0.9356505,0.57414514,0.5169416,0.062376104,-0.6122674,-1.0095656,0.25361428,0.37409696,-0.69060266,0.020191673,0.983149
