,PPI
ATM*FGFR3,528
ATM*IGF1R,467
ATM*JAK2,521
ATM*JAK3,473
ATM*FLT3,475
ATM*KIT,523
ATM*PDGFRA,476
ATM*RET,532
ATM*SRC,523
ATM*ZAP70,460
ATM*BTK,407
ATM*KDR,435
ATM*MAP3K7,485
ATM*RIPK1,576
ATM*TGFBR2,421
ATR*MTOR,459
ATR*SMG1,434
ATR*TRRAP,411
ATR*CHEK1,999
ATR*CHEK2,999
ATR*CDK1,715
ATR*CDK2,966
ATR*CDK3,424
ATR*CDK4,506
ATR*CDK6,440
ATR*CDK16,406
ATR*BUB1B,425
ATR*BUB1,534
ATR*CDC7,980
ATR*PLK1,566
ATR*PLK3,930
ATR*PIK3R4,478
ATR*PKMYT1,703
ATR*WEE1,811
ATR*WEE2,634
ATR*ABL1,962
ANTXR1*NEK7,453
ANTXR1*MAP2K7,560
ANTXR1*KDR,807
MTOR*TRRAP,461
MTOR*BRSK2,473
MTOR*CHEK1,721
MTOR*STK11,799
MTOR*MARK2,524
MTOR*DAPK1,421
MTOR*MKNK1,404
MTOR*PIM2,448
MTOR*PKD1,435
MTOR*CHEK2,621
MTOR*TRIB3,562
MTOR*CDK1,534
MTOR*CDK2,597
MTOR*CDK4,639
MTOR*CDK6,479
MTOR*CDK5,515
MTOR*GSK3A,517
MTOR*GSK3B,843
MTOR*MAPK3,788
MTOR*MAPK1,699
MTOR*MAPK7,524
MTOR*MAPK8,697
MTOR*CAMKK2,559
MTOR*CSNK2A2,422
MTOR*CHUK,958
MTOR*IKBKB,759
MTOR*TBK1,566
MTOR*ERN1,555
MTOR*PINK1,578
MTOR*EIF2AK4,861
MTOR*EIF2AK3,614
MTOR*EIF2AK1,447
MTOR*PLK1,404
MTOR*SCYL2,433
MTOR*ULK1,999
MTOR*ULK2,993
MTOR*ULK3,802
MTOR*PIK3R4,811
MTOR*WEE1,455
MTOR*MAP3K3,400
MTOR*MAP3K5,408
MTOR*PKN1,438
MTOR*MAP2K1,683
MTOR*MAP2K7,725
MTOR*ABL1,606
MTOR*ALK,548
MTOR*AXL,433
MTOR*EGFR,978
MTOR*PTK2,442
MTOR*FGFR1,460
MTOR*IGF1R,826
MTOR*INSR,600
MTOR*JAK1,460
MTOR*JAK2,596
MTOR*MET,638
MTOR*FLT3,521
MTOR*KIT,589
MTOR*PDGFRA,489
MTOR*PDGFRB,533
MTOR*RET,522
MTOR*FYN,420
MTOR*LCK,446
MTOR*LYN,400
MTOR*SRC,692
MTOR*SYK,538
MTOR*BTK,548
MTOR*NTRK1,552
MTOR*NTRK2,752
MTOR*FLT1,499
MTOR*FLT4,451
MTOR*KDR,677
MTOR*LRRK2,662
MTOR*ILK,748
MTOR*BRAF,589
MTOR*KSR1,525
MTOR*RAF1,584
SMG1*TRRAP,518
SMG1*CHEK1,615
SMG1*CHEK2,632
SMG1*PIK3R4,411
TRRAP*RIOK1,495
TRRAP*TAF1,540
TRRAP*TAF1L,622
TRRAP*TRIM28,450
TRRAP*CHEK1,506
TRRAP*CHEK2,580
TRRAP*CDK8,605
TRRAP*NEK2,458
TRRAP*PRAG1,654
TRRAP*EPHB2,423
TRRAP*MAP3K7,753
RIOK1*RIOK2,969
